target_word,when,type,date,sentence
remote,before,formal,2019-12-22T06:59:54Z,One of the things we focused on this morning was ensuring how we can better supplement the clearing work and the other things that need to be done in those areas that have been ravaged by fires and ensure that we can get even more prompt defence support into those arrangements.
remote,before,formal,2019-11-11T07:00:59Z,"“Thanks to this boat we’re saving lives, because with an early diagnosis we can give prompt treatment and that person can get on with their life.” Barbarán, whose turquoise hair is styled into a quiff, has been HIV-positive since 2000 and came close to death."
remote,after,formal,2021-12-24T23:01:34Z,"Martin Newell, a spokesperson for the advocacy group Grounded Kiwis, said the scheme’s resumption would prompt “disbelief” among New Zealanders overseas, who may lose out on MIQ spots to the investors."
