word,event,period,sentence,timestamp
troll,social-media,after,Where they do troll farms we can do online town meetings.,2024-09-29T08:00:29Z
troll,social-media,after,"Their networks of troll farms, hackers, mercenaries and criminal gangs are working ever faster.",2024-09-29T08:00:29Z
troll,social-media,after,"Whenever a troll enters a TV show or film, I always rub my hands and think: “Now the party’s started.” Their colossal power and tiny brains make trolls some of the most deliciously fun characters to witness on screen.",2024-08-28T14:09:45Z
troll,social-media,after,"With the second season of Amazon’s The Rings of Power featuring a hill troll called Damrod lumbering around, now is the perfect time to consider these massive creatures afresh.",2024-08-28T14:09:45Z
troll,social-media,after,“We had a little bit of difficulty right at the start because: how do you actually play a troll?,2024-08-28T14:09:45Z
troll,social-media,after,"Kircher was lucky enough to portray not just Tom; like the other two actors in the troll sequence, he also doubled up as a dwarf in the Hobbit trilogy (and got paid two separate fees for his trouble).",2024-08-28T14:09:45Z
troll,social-media,after,"But, while his dwarf Bifur was for all intents and purposes just a small man who had never been to the barber, his troll role took a little more thought.",2024-08-28T14:09:45Z
troll,social-media,after,"“There’s no easy way to play a troll.” Partly, this is because no one really agrees on what they’re like – beyond their habits of turning to stone in sunlight and living under bridges or in caves.",2024-08-28T14:09:45Z
troll,social-media,after,"There is no consensus, for example, on how large a troll should be.",2024-08-28T14:09:45Z
troll,social-media,after,"Although in some recent iterations the creatures have been enormous – in the 2022 Norwegian film Troll, the eponymous character is more than 300ft tall – canonically trolls can in fact be giants or dwarves.",2024-08-28T14:09:45Z
troll,social-media,after,"He couldn’t keep this up as he leapt around the room for 10 hours, but it was great for depicting the lumbering movements of a troll, he says.",2024-08-28T14:09:45Z
troll,social-media,after,"“You saw yourself as a troll; as a grotesque,” he says.",2024-08-28T14:09:45Z
troll,social-media,after,"“They’re kind of lovable in their stupidity.” This isn’t the role that Damrod the hill troll plays in The Rings of Power, says senior visual effects supervisor Jason Smith, who voices and provides the movements for the creature.",2024-08-28T14:09:45Z
troll,social-media,after,"Smith, meanwhile, saw his troll a little differently.",2024-08-28T14:09:45Z
troll,social-media,after,"“When we were sketching him early on,” he says, “I couldn’t escape this sense that he was wearing a kilt.” He says that there is therefore a “Scottish slant” to his particular troll’s voice.",2024-08-28T14:09:45Z
troll,social-media,after,"“Troll-playing is a very very unique profession,” says Hadlow.",2024-08-28T14:09:45Z
troll,social-media,after,"For Smith, the love of his troll character is expressed through remarkable attention to detail – facets and traits an audience might always be oblivious to.",2024-08-28T14:09:45Z
troll,social-media,after,But I owe the character the respect of saying: ‘That’s what he would do.’” It’s a great example of the subtle consideration that has gone into what it might be like to live life as a troll.,2024-08-28T14:09:45Z
troll,social-media,after,"Troll factories, cyber-attacks, deepfakes, and fake news campaigns – about dirty bombs and bioweapons being developed in Ukraine, for example – tip public opinion in regions where the west has lost its moral high ground.",2025-11-04T05:00:19Z
troll,social-media,after,"It would mean decisive action on the same lines as the EU’s 2022 suspension of Russian propaganda broadcasters, RT and Sputnik, and the US Cyber Command’s 2018 attack on a Russian troll factory, the Internet Research Agency, in order to stop midterm election interference.",2025-11-04T05:00:19Z
troll,social-media,after,"Albanese started his campaign last weekend in Dickson, and even though he reminded journos that Dutton’s was the most marginal in Queensland (on 1.7%), many thought it was just a troll or a head-fake to throw his opponent off course.",2025-04-11T15:00:20Z
troll,social-media,after,"The VP is like a one-man government troll-feeding programme – please don’t cut him, Elon!",2025-03-07T12:46:34Z
troll,social-media,after,"“Through decades of collaboration, Canada and the United States build things together, create jobs together and compete globally together.” Comedian Mark Critch summed up a weary disbelief among Canadians: “Saying we can’t cross a bridge is epic troll behaviour.”",2026-02-10T18:28:59Z
troll,social-media,after,Is it a troll?,2025-12-05T05:38:21Z
troll,social-media,after,"It’s no better at home: our coffee machine is less household appliance, more bridge troll, gleefully posing riddles and baffling tasks each morning.",2025-09-29T10:00:37Z
troll,social-media,after,"The prosecution: Nelly Gabriel may well be targeting the right people, but that doesn’t justify his obsessive online antics Gabriel, my boyfriend of seven years, is an internet troll and I don’t find it cute.",2025-01-03T08:00:51Z
troll,social-media,after,"In fact, he’s getting an adrenaline rush out of arguing and has now turned into a troll himself – complete with burner accounts.",2025-01-03T08:00:51Z
troll,social-media,after,"For every troll, there are 20 wonderful people ready to drown them out with kindness.",2025-12-26T10:00:06Z
troll,social-media,after,I suppose the best I can do is model a different sort of masculinity for him – a masculinity that involves being the naturally hideous troll that we are all destined to become.,2026-01-27T13:00:44Z
troll,social-media,after,"Shapiro said hosts were “indeed responsible for the guests they choose and the questions they ask”, adding that Fuentes “is an evil troll and that building him up is an act of moral imbecility.",2025-12-21T21:12:12Z
troll,social-media,after,"That film took a while to gain a cult following, ultimately accepted by the same drunk Bad Movie crowd who took in Troll 2, but Primate won’t take anywhere near as long.",2026-01-08T20:17:39Z
troll,social-media,after,"Troll: A Love Story by Johanna Sinisalo, translated by Herbert Lomas (Pushkin, £9.99) Outside his apartment block, behind the bins, a young man known as Angel finds a sick, abandoned troll cub.",2024-12-20T12:00:47Z
troll,social-media,after,"For such a short novel, Troll covers a lot of ground; it’s told through various viewpoints, and bolstered by invented sources ranging from folk tales to scientific papers.",2024-12-20T12:00:47Z
troll,social-media,after,‘Pay to troll’ features DTI’s devoted fanbase is getting restless.,2025-11-05T14:00:28Z
troll,social-media,after,He has also tracked the rising phenomenon of “pay to troll” features – such as the shit-throwing on DTI – which incentivise bullying and prompt players to pay real money to do so.,2025-11-05T14:00:28Z
troll,social-media,after,"“Roblox games are actually monetising that kind of desire to troll and mess with and negatively impact other players,” he says.",2025-11-05T14:00:28Z
troll,social-media,after,"One of the first posts, from a self-described “Twitter troll”, accused the ADL of having “blood on their hands”.",2025-10-04T16:00:10Z
troll,social-media,after,Other rightwing activists soon followed the troll with more posts about the ADL.,2025-10-04T16:00:10Z
troll,social-media,after,"To me, it is simply tragic that, given the chance to build a nation, Amin chose instead to troll it.",2025-11-26T07:00:43Z
troll,social-media,after,Minns said Lees’ comments were “almost troll-like”.,2025-12-23T05:49:51Z
