word,event,register,period,sentence,timestamp
binge,streaming,formal,before,"""The Mail alleged that [a] poster had gone up and Mr Morrissey had been banned because his behaviour had made him unwelcome to the proprietors and staff as a bad influence who encouraged the antisocial and offensive binge drinking for which English settlers had become notorious and were resented by local French people,"" Peter Crawford, solicitor for Morrissey, told the judge Richard Parks QC.",2012-01-12T11:38:00Z
binge,streaming,formal,before,"""No one likes binge drinking, but it's not under your control,"" he complains.",2011-08-22T19:00:01Z
binge,streaming,formal,before,"In the west, binge drinking is associated with young men and women spilling out of pubs and clubs in the early hours of the mornings.",2011-08-22T19:00:01Z
binge,streaming,formal,before,"""Excessive drinking, frequent drinking [five to seven days a week] and binge drinking behaviour have reached epidemic proportions among current drinkers in China,"" warned a study published in the journal Addiction last month.",2011-08-22T19:00:01Z
binge,streaming,formal,before,"But of those, 57% of men and 27% of women binge.",2011-08-22T19:00:01Z
binge,streaming,formal,before,"Poor parenting significantly increases the likelihood that children will grow up to be binge drinkers, according to the findings of a controversial study.",2011-08-27T22:32:07Z
binge,streaming,formal,before,"The thinktank Demos, which tracked the lives of 30,000 people across four decades, found that high levels of parental warmth and attachment until the age of 10, combined with strict discipline by the time they are 16, play a powerful role in reducing the likelihood that a child would go on to be a binge drinker.",2011-08-27T22:32:07Z
binge,streaming,formal,before,"""This is good for parents: those difficult moments of enforcing tough rules really do make a difference, even if it doesn't always feel like that at the time."" Levels of binge drinking in the UK have been dropping since 2000.",2011-08-27T22:32:07Z
binge,streaming,formal,before,"But Bartlett said the media's infatuation ""with a boozed-up Britain"" had made the ""culture of a binge-drinking minority more extreme, and more public"".",2011-08-27T22:32:07Z
binge,streaming,formal,before,The French call it le binge drinking and consider it one of the more obnoxious imports from across the Channel.,2011-07-17T17:35:49Z
binge,streaming,formal,before,"Until five years ago, the French viewed binge drinking as a phenomenon largely limited to the UK and Scandinavian countries.",2011-07-17T17:35:49Z
binge,streaming,formal,before,"This was Andrew Lansley's 18-month opposition to setting a minimum price for alcohol, in the belief that ""nudge"" rather than ""nannying"" was still the best way to tackle Britain's binge-drinking culture.",2012-11-28T14:09:27Z
binge,streaming,formal,before,"""Even though every health pundit will say it's a terrible thing, I'd rather wait till we win and then binge-drink,"" he says breezily.",2011-10-12T19:29:00Z
binge,streaming,formal,before,May will say that her plans are part of a longstanding government push to crack down on binge drinking.,2012-11-28T00:01:00Z
binge,streaming,formal,before,"40p would not be anywhere near as effective."" Dr Peter Carter, chief executive and general secretary of the Royal College of Nursing, said: ""Alcohol abuse costs the NHS £3bn every year and nursing staff witness first hand the social costs of binge drinking every day.",2012-11-28T00:01:00Z
binge,streaming,formal,before,"Just look at Arsène Wenger, who is apparently primed for another binge in January, his pen poised on the chequebook or whatever the equivalent is in the age of contactless payments – a concept the Mill finds a wee bit scary, like banter and wanting people to do well on Deal or No Deal.",2011-09-22T08:17:25Z
binge,streaming,formal,before,I wish it weren't only a once-a-year binge.,2012-12-13T12:45:00Z
binge,streaming,formal,before,"However, there is recent authoritative evidence she may be forced to set it even higher, at 50p a unit, to have a real affect on alcoholism, binge drinking and alcohol-related crime.",2012-03-23T00:01:04Z
binge,streaming,formal,before,"There is evidence, too, that a recent ban on multiple discounts on drinks in Scottish shops, such as three-for-two offers or discounts on a case of beer or wine, has already cut binge drinking.",2012-03-23T00:01:04Z
binge,streaming,formal,before,"So, here are some more creative strategies for curbing binge drinking.",2012-03-23T17:05:01Z
binge,streaming,formal,before,By rebranding what sounds like a fun night out – let's binge!,2012-03-23T17:05:01Z
binge,streaming,formal,before,"Sack Andrew Lansley There is as yet no proven causal link between the rise in binge drinking and the appointment of Lansley, but when the health secretary takes the side of the drinks industry on minimum alcohol pricing and has to be overruled by Downing Street, it's difficult to believe he's completely happy in his job.",2012-03-23T17:05:01Z
binge,streaming,formal,before,Instead of hectoring the middle classes – who do their binge drinking at home – we might subconsciously induce them to imbibe less just by obliging importers to name popular varietal wines after parts of the liver and pancreas.,2012-03-23T17:05:01Z
binge,streaming,formal,before,"Launch a campaign to encourage binge knitting Knitting keeps your hands busy and your mind off booze, and its adherents claim it's as addictive as crack cocaine.",2012-03-23T17:05:01Z
binge,streaming,formal,before,"Of course binge knitting may well have serious harmful effects of its own, but it's going to be a long time before anybody stumps up the funding for a study.",2012-03-23T17:05:01Z
binge,streaming,formal,before,"But now even the Académie Française – just a short stroll along the Seine from Place St-Michel – has offered no objection to the term ""le binge drinking"" being applied to the French citizens whose language it seeks to regulate (the term is actually less of a mouthful than ""intoxication alcoolique aigue"" – its best Gallic translation).",2011-07-23T23:08:00Z
binge,streaming,formal,before,"""It's not surprising that the French use a British expression for binge drinking because they believe it's an imported problem,"" said Ms Ramdani.",2011-07-23T23:08:00Z
binge,streaming,formal,before,"Binge drinking fits into a modern, global culture, and that's why, in the long term, France is going to have trouble keeping it in check.""",2011-07-23T23:08:00Z
binge,streaming,formal,before,"Bringing in the minimum price of £1.25 a unit, as a licensing condition for a new bar and restaurant set up by 'Champagne Joe' Robertson, the Labour-controlled council underlined its targeting of binge-drinking.",2012-12-20T11:59:00Z
binge,streaming,formal,before,"The Government should follow our lead by doing what they can to be tougher on the supermarkets, who have caused the crisis of low-cost binge drinking.",2012-12-20T11:59:00Z
binge,streaming,formal,before,"Young Britons, widely portrayed as binge-drinking hedonists, are turning into the new puritans, according to official figures and reports from student bars across the country.",2012-12-08T15:59:29Z
binge,streaming,formal,before,Levels of binge-drinking among young people have also fallen sharply.,2012-12-08T15:59:29Z
binge,streaming,formal,before,The government thinks the answer to Britain's binge-drinking problem is to water down alcoholic drinks.,2012-02-08T20:00:00Z
binge,streaming,formal,before,"Heineken has been forced to drop a cover of the US punk band Dead Kennedys' song Too Drunk to Fuck that featured in a Kronenbourg 1664 online promotion, after a complaint to the alcohol industry marketing watchdog that it encouraged binge drinking.",2011-07-05T06:21:16Z
binge,streaming,formal,before,Why did they ever allow the last management to seek excitement via a debt binge?,2012-10-02T19:56:05Z
binge,streaming,formal,before,"Of the 65 clients at an afternoon Cash clinic, 25 received emergency contraception and binge drinking was invariably reported.",2012-03-13T15:30:01Z
binge,streaming,formal,before,"I advise young clients in need of emergency contraception to visit the Cash clinic because I know the nurses will discuss sexual health and binge drinking, and have been trained to address the wider issues of relationships.",2012-03-13T15:30:01Z
binge,streaming,formal,before,"These pictures are in the same vein as all those images of young women pissed in public that routinely accompany tabloid stories on ""Binge Britain"".",2012-12-12T13:27:00Z
binge,streaming,formal,before,"It's also because, as the show zeroes in on binge-drinking culture, Walsh can seem as loutish as the activity he depicts.",2012-11-07T18:07:44Z
binge,streaming,formal,before,"Postwar Britain has evolved from hearty Pickwickian carousing to some sort of Rabelaisian, bodily fluid-spewing perma-binge.",2012-12-14T18:00:01Z
binge,streaming,formal,before,"Nevertheless, in February, the National Obesity Observatory published the report, Alcohol and Obesity, stating that: ""Although there is no clear causal relationship … there are associations between the two which are heavily influenced by lifestyle, genetic and social factors."" Ruefully, it acknowledged: ""Much of the research regarding alcohol to date focuses on alcohol dependency, binge-drinking and associated crime and disorder.",2012-12-14T18:00:01Z
binge,streaming,formal,before,"A late surge is still expected by retail analysts, but it is increasingly unlikely there will be enough of a spending binge to make up for November's lost ground.",2012-12-20T10:35:02Z
binge,streaming,formal,before,"Who knew of the potentially fatal dangers of eating too many baked potatoes prior to driving, before he took the wheel following a reckless baked potato binge, leaned out of his car to vomit and ended up running himself over?",2012-10-11T17:12:00Z
binge,streaming,formal,before,"And the current ambassador to Ireland is Dan Rooney, the controlling owner of the Pittsburgh Steelers pro football team … Wintour is as much a businessperson as they are and is one of the most powerful people (perhaps the most powerful person) in the multibillion-dollar fashion industry."" Here's how Julian Borger, the Guardian's diplomatic editor, sees the role of the ambassador: ""Apart from the obligatory binge consumption of great piles of Ferrero Rocher nutty chocolate balls, an ambassador is supposed to represent the interests of his or her state abroad, and be a channel of communication between governments and, ideally, peoples.",2012-12-05T09:32:33Z
binge,streaming,formal,before,"The French say the beer money will raise €480m in revenue to be spent on social services, with ministers contending that the decision has been taken on health grounds and to curb binge-drinking among the young.",2012-12-04T14:04:21Z
binge,streaming,formal,before,A Department of Health spokesman said young adults should observe the recommended safe drinking advice – as alcohol is a significant factor in accidents – which includes avoiding binge drinking.,2012-12-05T00:29:10Z
binge,streaming,formal,before,"Teenage binge drinkers ending up in A&amp;E after a Saturday night ""on the booze"" undoubtedly is a stereotype with some grounding in reality.",2012-07-23T07:30:01Z
binge,streaming,formal,before,"And it will be essential that the boards engage with local communities to help change the way alcohol is seen and used by a range of different groups, including the chronic and the binge drinker.",2012-07-23T07:30:01Z
binge,streaming,formal,before,"It said the shops, which are heavily indebted after a borrowing binge in the boom years, faced significant financial distress if austerity-hit shoppers continued to bargain-hunt and switch to online shopping.",2012-12-24T00:04:00Z
binge,streaming,formal,before,"Following a lunch with company directors, analysts at Shire's house broker Morgan Stanley said the attention deficit hyperactivity disorder drug could also be used to treat depression, schizophrenia and binge eating.",2012-10-04T15:54:04Z
binge,streaming,formal,before,He said: While the market remains sceptical about the potential of Vyvanse ex-ADHD we note phase 3 depression data in the third quarter of 2013 and potentially phase 3 schizophrenia and binge eating disorder by the end of 2013.,2012-10-04T15:54:04Z
binge,streaming,formal,before,"The British disease has even entered the French language: le binge drinking is the preferred phrase for vast, rapid consumption aimed solely at getting hammered.",2012-01-26T13:34:00Z
binge,streaming,formal,before,"One study found that 54% of British 15- and 16-year-olds admit to binge drinking, compared to a European average of 43%.",2012-01-26T13:34:00Z
binge,streaming,formal,before,"""I was just bored shitless and didn't know what to do."" The nine-month binge caused the usually beanpole-framed cyclist to put on significant weight: ""I got quite big.",2012-11-02T15:13:39Z
binge,streaming,formal,before,"Some 70% of adults drink every week, which may not seem too distressing if it is in moderation, but a quarter of us claim to have been binge drinking at least one day in the past week.",2012-03-23T19:35:58Z
binge,streaming,formal,before,"That is the danger which bedevils the government's attempt to ""turn the tide"" against binge drinking by imposing minimum unit pricing on alcoholic drinks, announced by the home secretary Theresa May on Friday.",2012-03-23T19:35:58Z
binge,streaming,formal,before,"That's largely because it exaggerates the centrality of a binge drinking culture which, while unquestionably important and in need of action, is actually in relative decline, especially among young men.",2012-03-23T19:35:58Z
binge,streaming,formal,before,There is also a good case for saying that binge drinking is a relatively less dangerous phenomenon in health terms than other forms of mainly domestic alcohol abuse.,2012-03-23T19:35:58Z
binge,streaming,formal,before,"I equate it to binge-drinking – they're taking in this music like they're drinking tons of alcohol, and they want it fast, they want it now, they want it intense.",2012-08-31T23:05:00Z
binge,streaming,formal,before,But do you continue binge-drinking until your late 20s?,2012-08-31T23:05:00Z
binge,streaming,formal,before,"Now fuck off back to your office and organise the wedding."" Fergus: ""I just wanted one solid shit to go in one direction, not madras fucking everywhere."" Adam: ""Jesus Christ on a crystal meth binge.""",2012-10-13T21:00:00Z
binge,streaming,formal,before,"Cameron says this is to combat ""binge drinking"", which drains police and hospital resources.",2012-03-25T00:04:26Z
binge,streaming,formal,before,"Most of us have a drinking personality, and mine is a semi-reformed binge drinker, who tragically can no longer cope with hangovers that feel increasingly akin to high-dose radiation poisoning.",2012-03-25T00:04:26Z
binge,streaming,formal,before,But should binge drinking carry the entire alcoholic rap?,2012-03-25T00:04:26Z
binge,streaming,formal,before,"So while binge drinkers may present to A&amp;E with head wounds and broken noses, and stealth drinkers take their worrying symptoms to consultants, its all the same in the end – a drain on NHS resources.",2012-03-25T00:04:26Z
binge,streaming,formal,before,"So, yes, perhaps something should be done about our binge drinking, but why stop there?",2012-03-25T00:04:26Z
binge,streaming,formal,before,"bleep.com/podcast TV: Funny Fortnight C4's comedy fest hasn't been easy to catch, scheduled in that post-Olympics haze when everyone has been too busy playing modern pentathlon in the park to engage in serious binge-viewing.",2012-08-24T23:05:00Z
binge,streaming,formal,before,"Illustrated with an image of an obese amputee, the blunt messaging was that binge fizzy-drinking will leave you legless.",2012-12-31T10:15:43Z
binge,streaming,formal,before,"Nobody acts out of character, despite ending up so far from where they started, and no show – not even The Shield – mastered the art of the cliff-hanger quite so well, which makes it perfect for binge-viewing on Netflix.",2012-09-01T23:05:55Z
binge,streaming,formal,before,"Away from parental monitoring, students often bulk up quickly by eating high-calorie foods in hall dining rooms, having late-night binge-eating sessions, drinking lots of calories in the form of alcohol and comfort-eating chocolate.",2012-09-11T18:00:00Z
binge,streaming,formal,before,Few other shows would dare to soundtrack a fatal drugs binge with Bela Lugosi's Dead by Bauhaus.,2012-10-25T15:41:00Z
binge,streaming,formal,before,"✒ From sartorial conformity in our schools to social conformity in Chinese workplaces: in Tuesday's G2, Tania Branigan tried to get China to confront its binge-drinking problem.",2011-08-25T20:00:02Z
binge,streaming,formal,before,Those people should be allowed to binge drink to their heart's content – they won't get much other respite.,2011-08-25T20:00:02Z
binge,streaming,formal,before,"If it is good enough for Russia or Scotland then it is surely good enough for an emerging superpower."" We'll binge-drink to that.",2011-08-25T20:00:02Z
binge,streaming,formal,before,"Maybe they've never seen Romford, Cardiff, Newcastle or any other of Britain's town centres blitzed by binge drinkers on a weekend night.",2010-09-03T23:01:57Z
binge,streaming,formal,before,"Our socially liberal, permissive cousins in Scandinavia have no hang-ups about controlling alcohol abuse, yet in binge-Britain any suggestion of raising prices, or, whisper it quietly, ordering the supermarkets what to do, is met with horror.",2010-09-03T23:01:57Z
binge,streaming,formal,before,"Professor Mary James President, British Educational Research Association • Binge drinking (Letters, 25 February) is not really British in origin.",2012-02-27T21:00:04Z
binge,streaming,formal,before,The word binge came into the English language via the town of Binche in Belgium.,2012-02-27T21:00:04Z
binge,streaming,formal,before,"And yet, also a tiny bit glad that the party's over and the binge fully burned out.",2012-09-10T09:55:59Z
binge,streaming,formal,before,"People have had enough of binge drinkers and expect us to take action, not just a ""nudge"", more an almighty shove.",2011-10-11T19:59:02Z
binge,streaming,formal,before,But the point has to be made that low-income groups suffer most of the harmful effects that result from binge drinking.,2011-10-11T19:59:02Z
binge,streaming,formal,before,"Scotland has an even more serious issue with binge drinking than England, and has a compelling health case for action.",2011-10-11T19:59:02Z
binge,streaming,formal,before,Measures set out in the new national alcohol strategy include a minimum price of 40p per unit of alcohol in England and Wales and greater powers for local authorities to deal with binge drinking.,2012-03-27T20:00:04Z
binge,streaming,formal,before,"Second, we need to recognise that relentless advertising fuels our harmful binge drinking culture.",2012-03-27T20:00:04Z
binge,streaming,formal,before,"Bruce Whitehead South Queensferry, West Lothian • I don't think raising the price of alcohol addresses the problem of binge drinking.",2012-03-27T20:00:04Z
binge,streaming,formal,before,It's therefore not the price that causes binge drinking.,2012-03-27T20:00:04Z
binge,streaming,formal,before,No sign of binge drinking here.,2012-03-27T20:00:04Z
binge,streaming,formal,before,Millionaire politicians who splash out on £50 bottles of champers over a £75 dinner will continue their own binge drinking.,2012-03-27T20:00:04Z
binge,streaming,formal,before,"As always, though, I am overwhelmed by the concentration on one meal, the annual binge/purge.",2012-12-19T20:00:01Z
binge,streaming,formal,before,"Cameron will promise an attack on the country's binge culture from every angle, including ""more powers for pubs to stop serving alcohol to people who are already drunk, more powers for hospitals not just to tackle the drunks turning up in A&amp;E – but also the problem clubs that send them there night after night"".",2012-03-23T00:04:00Z
binge,streaming,formal,before,The government can defend itself on the basis that the action is proportionate in view of the damage to the nation's health caused by binge drinking.,2012-03-23T00:04:00Z
binge,streaming,formal,before,"Cameron will say: ""Binge drinking isn't some fringe issue, it accounts for half of all alcohol consumed in this country.",2012-03-23T00:04:00Z
binge,streaming,formal,before,We have to tackle the scourge of violence caused by binge drinking.,2012-03-23T00:04:00Z
binge,streaming,formal,before,"But sadly, because incarceration has become a virtual jobs program in many states and because certain corporations are profiting handsomely from the incarceration binge that has been in place for the past few decades, the reduction in prison populations and prison closures is being met with huge resistance.",2012-12-19T21:19:00Z
binge,streaming,formal,before,"The ban on cheap multi-buy deals will not apply to pubs, clubs and restaurants and is aimed at curbing binge drinking, especially by teenagers ""pre-loading"" on very cheap alcohol before they go for an evening out.",2012-11-28T12:37:29Z
binge,streaming,formal,before,"The whole saga, which works best in binge viewings , is available over on Netflix.",2012-07-06T23:05:00Z
binge,streaming,formal,before,"Perhaps the food binge, the shopping splurge, the career woman struggling with maternal guilt.",2012-09-07T23:05:11Z
binge,streaming,formal,before,"""I'm as baffled at the end as I was at the beginning,"" she conceded, still unable to fathom binge-drinking.",2012-04-26T19:00:05Z
binge,streaming,formal,before,"Second, increasing excise duty faster than the rate of inflation via the escalator has the effect of pushing consumers into supermarkets, thereby decreasing the average price paid for alcohol, a perverse outcome for a government that is supposedly seeking the reverse in the name of curbing binge drinking.",2012-05-02T17:44:07Z
